domain imageCount urlCount fetchSuccess fetchUnfetched fetchRedirectTemp fetchGone fetchRedirectPerm
gunsinternational 1 12 9 1 1 0 0
buyusedguns.net 1 2 2 0 0 0 0
gandermountain 1 259 223 26 0 1 0
dallasguns 18 101 101 0 0 0 0
freeclassifieds 0 1 1 0 0 0 0
americanlisted 150 65022 38435 20703 0 5147 713
tradesnsales 0 12 1 9 1 0 1
gunlistings.or 0 1 0 0 0 1 0
gunidaho 427 783 771 0 0 0 0
accurateshooter 216 2606 785 1780 0 1 40
gundeals.org 0 1 1 0 0 0 0
midutahradio 0 1 0 0 0 0 1
lionseek 0 183305 114941 68362 1 1 0
montanagunsforsale 0 1 0 0 0 0 1
alaskaslist 0 1 0 0 0 0 1
clasificadosphoenix.univision 0 1 0 0 1 0 0
gunbroker.co 0 4 4 0 0 0 0
classifieds.al 0 1 1 0 0 0 0
firearmlist 0 1 0 0 1 0 0
shooting.org 33074 143913 104341 33542 1040 168 283
tell-n-sell 0 1 1 0 0 0 0
wantaddigest 0 1 1 0 0 0 0
arguntrader 79 2276 1010 1257 0 0 0
jasonsguns 0 42 42 0 0 0 0
kyclassifieds 6 8529 3484 3041 4 39 1952
tennesseegunexchange 0 1 0 0 0 0 1
midwestgtrader 0 1 1 0 0 0 0
idahogunsforsale 8 13 11 0 0 0 0
iguntrade 0 2 1 0 0 0 1
davidsonsinc 0 1 0 0 1 0 0
cheaperthandirt 4 222 118 94 9 0 1
armslist 2 4956037 471695 4452618 2 1 12310
freegunclassifieds 0 1 0 0 1 0 0
abqjournal 66 10216 2963 6289 7 10 911
nextechclassifieds 0 61574 8093 44944 8536 0 1
hipointfirearmsforums 3622 29247 13478 14121 1287 106 140
comprayventadearms 0 1 1 0 0 0 0
iwanna 4183 56159 29845 24024 1411 82 3
advanced-armanent 0 1 1 0 0 0 0
recycler 0 1 1 0 0 0 0
guntrader 294 10373 7122 1764 33 7 776
gunauction 58 55172 2415 29451 17 221 22267
floridagunclassifieds 0 1 0 0 1 0 0
classifiednc 3 3244 3105 99 33 3 0
mountaintrader 10 87 31 37 7 12 0
cologunmarket 2 5 5 0 0 0 0
theoutdoorstrader 28914 421818 262888 138079 24 5467 14817
vci-classifieds 3 101 61 3 2 0 1
shooterswap 0 1 0 0 0 0 1
ksl 100 49714 14062 26488 1072 504 26
zidaho 7033 59450 26922 29379 2 12 0
fhclassifieds 4 6 6 0 0 0 0
impactguns 0 1 1 0 0 0 0
gowilkes 0 748 354 392 1 1 0
oodle 0 52 28 8 1 0 8
billingsthriftynickel 0 1 0 0 0 0 1
cabelas 9 368 191 159 7 0 11
gunsamerica 0 2 1 0 0 0 1
carolinabargaintrader.net 0 1 0 0 1 0 0
budsgunshop 15 159 97 44 16 1 1
ncgunads 2 964 907 52 1 2 0
slickguns 0 1 1 0 0 0 0
academy 8 120 55 60 3 1 1
montanagunclassifieds 1185 28970 7661 20004 57 1073 1
backpage 0 5 4 1 0 0 0
